overall_volume_rank,combined_popularity_score,pos_code,pos_name,pos_category,sku_family,pos_customer_price_est,pos_price_ex_tax,current_zomato_menu_match,current_zomato_price,current_swiggy_workbook_match,current_swiggy_workbook_price,swiggy_volume_rank,swiggy_best_match,swiggy_best_match_orders,swiggy_best_match_units,swiggy_best_match_aov,swiggy_best_match_price,swiggy_cg_cuisine,swiggy_dish_family,swiggy_primary_cuisine,swiggy_item_category,swiggy_is_combo,swiggy_veg_flag,swiggy_match_confidence,zomato_ov_rank,zomato_best_match,zomato_primary_cuisine,zomato_best_match_avg_price,zomato_match_confidence,swiggy_volume_price,zomato_rank_adjusted_price,raw_volume_customer_price,suggested_volume_customer_price,price_derivation_source,price_vs_pos_customer_diff,price_vs_pos_customer_diff_pct,price_action_read,execution_mapping_gate,swiggy_top_similar_items,zomato_top_similar_items,match_notes
45,24.96,,Ghee Rice + Dal Fry,Combos,combo_rice_curry,149,141.9,,,Ghee Rice With Dal Fry,,146,ghee rice with dal fry,68,85,199.18,149.0,North Indian,OTHER RICE VARIETIES,North Indian,empire special thalis & combos,,1.0,HIGH,19,dal fry,North Indian,154.0,MEDIUM,149.0,159.0,151.64,149,swiggy_weighted_median_plus_zomato_rank_adjusted,0,0.0,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"ghee rice with dal fry @ 149 (rank 146, score 1.00) | dal fry @ 230 (rank 90, score 0.59) | dal fry @ 74 (rank 101, score 0.59)","dal fry @ 154 (rank 19, score 0.59) | dal fry @ 153 (rank 47, score 0.59) | ghee rice @ 159 (rank 1, score 0.55)",Exact/direct
46,24.39,HE-1181,Mutton Chatpata,Mutton Curry,mutton_gravy,230,219.05,Mutton Chatpata,240.0,Mutton Chatpata,295.0,1703,mutton chatpata,3,3,295.0,295.0,North Indian,CURRY,Biryani,non veg main course,,,HIGH,13,mutton masala,Hyderabadi,335.0,MEDIUM,295.0,335.0,306.72,299,swiggy_weighted_median_plus_zomato_rank_adjusted,69,0.3,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"mutton chatpata @ 295 (rank 1703, score 1.00) | mutton masala @ 479 (rank 2473, score 0.68) | mutton masala @ 396 (rank 2543, score 0.68)","mutton masala @ 335 (rank 13, score 0.68) | mutton nihari @ 455 (rank 40, score 0.65) | mutton burra @ 475 (rank 47, score 0.39)",Exact/direct
47,24.08,HE-1169,Chicken Pepper Dry,Indian,other,200,190.48,Chicken Pepper Dry,235.0,,,2831,chicken pepper dry,1,1,235.0,235.0,Coastal/Seafood,OTHER DRY STARTERS,Biryani,starters & kebabs,,,HIGH,21,pepper chicken dry boneless,North Indian,149.0,HIGH,235.0,241.0,237.09,229,swiggy_weighted_median_plus_zomato_rank_adjusted,29,0.145,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_READY_FOR_OFFER_LAYER,"chicken pepper dry @ 235 (rank 2831, score 1.00) | pepper chicken dry boneless @ 149 (rank 87, score 0.87) | pepper chicken @ 370 (rank 12, score 0.83)","pepper chicken dry boneless @ 149 (rank 21, score 0.87) | pepper chicken @ 270 (rank 23, score 0.83) | pepper chicken @ 241 (rank 50, score 0.83)",Exact/direct
48,24.01,HE-1143,Andhra Tikka,Tandoori Starters,dry_starter_tikka,250,238.1,Andhra Tikka,250.0,Andhra Tikka,320.0,566,andhra chili chicken tikka,15,18,690.0,575.0,North Indian,TIKKA,North Indian,starter,,,HIGH,13,chicken tikka,Hyderabadi,295.0,MEDIUM,360.0,192.0,308.01,299,swiggy_weighted_median_plus_zomato_rank_adjusted,49,0.196,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"andhra chili chicken tikka @ 575 (rank 566, score 0.84) | andhra chili chicken tikka @ 575 (rank 567, score 0.84) | paneer tikka @ 360 (rank 207, score 0.69)","chicken tikka @ 295 (rank 13, score 0.62) | boneless hariyali tikka @ 192 (rank 42, score 0.58) | chicken malai tikka @ 390 (rank 31, score 0.57)",Exact/direct
49,23.92,,Shawarma,Shawarma,roll_shawarma,84,80.0,,,,,2165,chicken shawarma roll,2,3,225.0,150.0,North Indian,ROLL,Biryani,rolls,,,MEDIUM,19,shawarma roll,Mughlai,105.0,HIGH,267.0,95.0,194.16,189,swiggy_weighted_median_plus_zomato_rank_adjusted,105,1.25,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken shawarma roll @ 150 (rank 2165, score 0.68) | chicken shawarma (rolls) @ 95 (rank 294, score 0.67) | lebanese paneer shawarma roll @ 267 (rank 450, score 0.61)","shawarma roll @ 105 (rank 19, score 0.81) | chicken shawarma (rolls) @ 95 (rank 9, score 0.67) | seekh kebab jumbo roll @ 135 (rank 33, score 0.25)",Exact/direct
50,23.44,HE-1146,Mughlai Chicken,Chicken Curry,chicken_gravy,230,219.05,Mughlai Chicken,245.0,Mughlai Chicken,295.0,2063,mughlai chicken,2,2,300.0,200.0,North Indian,CURRY,Biryani,chicken gravy,,,HIGH,12,butter chicken,North Indian,281.0,MEDIUM,200.0,281.0,222.84,219,swiggy_weighted_median_plus_zomato_rank_adjusted,-11,-0.0478,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"mughlai chicken @ 200 (rank 2063, score 1.00) | chicken mughlai[half] @ 310 (rank 2012, score 0.97) | chicken mughlai @ 235 (rank 2011, score 0.95)","butter chicken @ 281 (rank 12, score 0.64) | boneless kadai chicken @ 366 (rank 34, score 0.60) | chicken korma @ 270 (rank 47, score 0.59)",Exact/direct
51,22.61,HE-1170,Garlic Chicken,Chinese Gravy,other,200,190.48,Garlic Chicken,235.0,Garlic Chicken,255.0,292,garlic chicken,33,37,246.67,220.0,North Indian,OTHER DRY STARTERS,Biryani,non veg starters,,,HIGH,28,chicken 65,Biryani,292.0,HIGH,220.0,280.0,240.18,229,swiggy_weighted_median_plus_zomato_rank_adjusted,29,0.145,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_READY_FOR_OFFER_LAYER,"garlic chicken @ 220 (rank 292, score 1.00) | garlic chicken @ 185 (rank 1046, score 1.00) | garlic chicken (boneless chicken) @ 180 (rank 2008, score 0.90)","chicken 65 @ 292 (rank 28, score 0.83) | andhra chicken @ 280 (rank 13, score 0.68) | pepper chicken @ 270 (rank 23, score 0.65)",Exact/direct
52,22.59,,Sprite 740ml,Bane Marie,other,37,35.0,,,,,1201,sprite (250 ml),6,6,30.0,30.0,North Indian,SOFT DRINKS,North Indian,beverage,,1.0,HIGH,13,sprite [750 ml] [hbh],Hyderabadi,60.0,MEDIUM,30.0,60.0,39.36,39,swiggy_weighted_median_plus_zomato_rank_adjusted,2,0.0541,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"sprite (250 ml) @ 30 (rank 1201, score 0.83) | sprite (300 ml) @ 55 (rank 3198, score 0.83) | sprite tin 330 ml @ 66 (rank 149, score 0.59)","sprite [750 ml] [hbh] @ 60 (rank 13, score 0.61) | thums up tin 330 ml @ 67 (rank 45, score 0.29) | coke [750 ml] [hbh] @ 60 (rank 3, score 0.29)",Exact/direct
53,22.33,HE-1195,Mutton Sheekh Kabab,Tandoori Starters,dry_starter_kabab,150,142.86,Mutton Sheekh Kabab,150.0,,,401,mutton seekh kebab,22,24,758.18,695.0,North Indian,KEBAB,North Indian,starter,,,HIGH,27,mutton seekh kebab,Mughlai,295.0,HIGH,610.0,295.0,490.3,479,swiggy_weighted_median_plus_zomato_rank_adjusted,329,2.1933,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"mutton seekh kebab @ 695 (rank 401, score 0.86) | mutton seekh kebab @ 635 (rank 675, score 0.86) | mutton seekh kebab (8 pcs) @ 430 (rank 460, score 0.81)","mutton seekh kebab @ 295 (rank 27, score 0.86) | seekh kebab @ 138 (rank 8, score 0.40) | mutton biryani + 2 pieces kebab+ coke [250 ml] @ 365 (rank 13, score 0.40)",Exact/direct
54,22.25,HE-1178,Methi Mutton,Mutton Curry,other,210,200.0,Methi Mutton,230.0,Methi Mutton,270.0,1706,methi mutton,3,3,295.0,295.0,North Indian,CURRY,Biryani,non veg main course,,,HIGH,13,special mutton haleem,Hyderabadi,299.0,MEDIUM,295.0,299.0,296.09,299,swiggy_weighted_median_plus_zomato_rank_adjusted,89,0.4238,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"methi mutton @ 295 (rank 1706, score 1.00) | kadhai mutton @ 295 (rank 1254, score 0.68) | bhuna mutton @ 465 (rank 1378, score 0.66)","special mutton haleem @ 299 (rank 13, score 0.61) | mutton burra @ 475 (rank 47, score 0.59) | kosha mangsho (mutton) 4pcs @ 715 (rank 46, score 0.55)",Exact/direct
