overall_volume_rank,combined_popularity_score,pos_code,pos_name,pos_category,sku_family,pos_customer_price_est,pos_price_ex_tax,current_zomato_menu_match,current_zomato_price,current_swiggy_workbook_match,current_swiggy_workbook_price,swiggy_volume_rank,swiggy_best_match,swiggy_best_match_orders,swiggy_best_match_units,swiggy_best_match_aov,swiggy_best_match_price,swiggy_cg_cuisine,swiggy_dish_family,swiggy_primary_cuisine,swiggy_item_category,swiggy_is_combo,swiggy_veg_flag,swiggy_match_confidence,zomato_ov_rank,zomato_best_match,zomato_primary_cuisine,zomato_best_match_avg_price,zomato_match_confidence,swiggy_volume_price,zomato_rank_adjusted_price,raw_volume_customer_price,suggested_volume_customer_price,price_derivation_source,price_vs_pos_customer_diff,price_vs_pos_customer_diff_pct,price_action_read,execution_mapping_gate,swiggy_top_similar_items,zomato_top_similar_items,match_notes
65,20.35,HE-1228,Palak Paneer,Vegetarian,other,200,190.48,Palak Paneer,200.0,Palak Paneer,255.0,286,palak paneer,34,36,261.76,255.0,North Indian,CURRY,North Indian,north indian gravys,,1.0,HIGH,3,paneer biryani,Biryani,319.0,WEAK,255.0,,255.0,249,swiggy_weighted_median_only,49,0.245,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"palak paneer @ 255 (rank 286, score 1.00) | palak paneer @ 335 (rank 343, score 1.00) | palak paneer @ 440 (rank 366, score 1.00)","paneer biryani @ 319 (rank 3, score 0.34) | box paneer biryani @ 237 (rank 8, score 0.31) | paneer butter masala @ 250 (rank 13, score 0.28)",Exact/direct
66,20.14,HE-1216,Wheat Paratha,Indian Breads,bread,45,42.86,Wheat Paratha,45.0,Wheat Paratha,60.0,215,wheat parotta,46,87,79.43,42.0,North Indian,PAROTTA,North Indian,rotis & parottas,,1.0,HIGH,36,wheat parotta,North Indian,41.0,HIGH,42.0,41.0,41.62,39,swiggy_weighted_median_plus_zomato_rank_adjusted,-6,-0.1333,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_READY_FOR_OFFER_LAYER,"wheat parotta @ 42 (rank 215, score 1.00) | wheat parotta @ 59 (rank 537, score 1.00) | wheat parotta @ 47 (rank 617, score 1.00)","wheat parotta @ 41 (rank 36, score 1.00) | kerala parotta @ 37 (rank 5, score 0.61) | ceylon parotta @ 41 (rank 32, score 0.58)",Exact/direct
67,20.0,HE-1154,Methi Chicken,Chicken Curry,other,210,200.0,Methi Chicken,225.0,Methi Chicken,270.0,854,methi chicken,9,10,250.0,225.0,North Indian,CURRY,Biryani,non veg main course,,,HIGH,28,chicken 65,Biryani,292.0,HIGH,225.0,280.0,243.64,249,swiggy_weighted_median_plus_zomato_rank_adjusted,39,0.1857,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"methi chicken @ 225 (rank 854, score 1.00) | methi chicken @ 190 (rank 2938, score 1.00) | methi chicken boneless @ 228 (rank 2847, score 0.94)","chicken 65 @ 292 (rank 28, score 0.84) | meghana chicken 555 @ 360 (rank 46, score 0.67) | andhra chicken @ 280 (rank 13, score 0.66)",Exact/direct
68,19.68,HE-1234,Mushroom Masala,Vegetarian,chicken_gravy,180,171.43,Mushroom Masala,220.0,Mushroom Masala,230.0,282,mushroom masala,34,38,398.09,370.0,Biryani,CURRY,Biryani,veg curries,,1.0,HIGH,13,mushroom biryani,Biryani,303.0,WEAK,250.0,303.0,260.65,249,swiggy_weighted_median_plus_zomato_rank_adjusted,69,0.3833,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"mushroom masala @ 370 (rank 282, score 1.00) | mushroom masala @ 250 (rank 302, score 1.00) | mushroom masala @ 210 (rank 743, score 1.00)","mushroom biryani @ 303 (rank 13, score 0.41) | masala dosa @ 107 (rank 41, score 0.26)",Exact/direct
69,19.33,HE-1246,Shezwan Noodles,Noodles,other,200,190.48,Shezwan Noodles,200.0,,,963,veg schezwan noodles,8,8,105.0,105.0,North Indian,NOODLES,Biryani,noodles,,1.0,MEDIUM,18,chicken noodles,North Indian,216.0,MEDIUM,175.0,165.0,171.27,179,swiggy_weighted_median_plus_zomato_rank_adjusted,-21,-0.105,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"veg schezwan noodles @ 105 (rank 963, score 0.62) | veg schezwan noodles @ 245 (rank 1258, score 0.62) | veg schezwan noodles @ 260 (rank 1729, score 0.62)","chicken noodles @ 216 (rank 18, score 0.60) | chicken noodles @ 165 (rank 34, score 0.60) | veg noodles @ 127 (rank 36, score 0.59)",Family/similar-market mapping; review before portal execution
70,19.29,HE-1209,Egg Roll,Rolls,roll_shawarma,90,85.71,Egg Roll,115.0,Egg Roll,115.0,1862,egg roll,3,3,75.0,75.0,North Indian,ROLL,Biryani,rolls,,2.0,HIGH,15,chicken roll,North Indian,137.0,LOW,75.0,83.0,77.03,79,swiggy_weighted_median_plus_zomato_rank_adjusted,-11,-0.1222,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"egg roll @ 75 (rank 1862, score 1.00) | egg roll @ 330 (rank 2405, score 1.00) | egg roll @ 215 (rank 2873, score 1.00)","chicken roll @ 137 (rank 15, score 0.55) | chicken roll @ 83 (rank 17, score 0.55) | nizam roll @ 83 (rank 7, score 0.54)",Exact/direct
71,19.05,,Pathiri Roti,Indian Breads,bread,38,36.19,,,,,115,roti,80,214,133.12,55.0,North Indian,ROTI,North Indian,indian breads,,1.0,MEDIUM,26,tandoori roti,North Indian,46.0,LOW,55.0,38.0,49.43,49,swiggy_weighted_median_plus_zomato_rank_adjusted,11,0.2895,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"roti @ 55 (rank 115, score 0.71) | roti @ 65 (rank 452, score 0.71) | roti @ 75 (rank 474, score 0.71)","tandoori roti @ 46 (rank 26, score 0.57) | tandoori roti @ 39 (rank 43, score 0.57) | rumali roti @ 38 (rank 5, score 0.55)",Family/similar-market mapping; review before portal execution
72,19.03,HE-1157,Chicken Saagwala,Chicken Curry,other,220,209.52,Chicken 65,230.0,Chicken 65,280.0,1381,chicken saagwala,4,4,435.0,435.0,North Indian,CURRY,North Indian,indian,,,HIGH,28,chicken 65,Biryani,292.0,HIGH,435.0,292.0,386.44,389,swiggy_weighted_median_plus_zomato_rank_adjusted,169,0.7682,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"chicken saagwala @ 435 (rank 1381, score 1.00) | chicken special @ 220 (rank 647, score 0.87) | chicken 65 @ 375 (rank 20, score 0.84)","chicken 65 @ 292 (rank 28, score 0.84) | chicken noodles @ 216 (rank 18, score 0.63) | chicken noodles @ 165 (rank 34, score 0.63)",Exact/direct
73,18.71,HE-1142,Malai Tikka,Tandoori Starters,dry_starter_tikka,250,238.1,Malai Tikka,250.0,Malai Tikka,320.0,1208,murgh malai tikka,5,7,755.0,585.0,North Indian,TIKKA,North Indian,barbecue grills,,,HIGH,31,chicken malai tikka,Mughlai,390.0,HIGH,585.0,390.0,511.86,499,swiggy_weighted_median_plus_zomato_rank_adjusted,249,0.996,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"murgh malai tikka @ 585 (rank 1208, score 0.96) | malai paneer tikka @ 375 (rank 1376, score 0.95) | malai tikka masala @ 228 (rank 2098, score 0.95)","chicken malai tikka @ 390 (rank 31, score 0.94) | chicken tikka @ 295 (rank 13, score 0.63) | boneless hariyali tikka @ 192 (rank 42, score 0.58)",Exact/direct
74,18.6,HE-1150,Punjabi Chicken,Chicken Curry,other,230,219.05,Punjabi Chicken,235.0,Punjabi Chicken,295.0,1499,punjabi chicken,4,4,185.0,185.0,North Indian,CURRY,North Indian,non veg gravy [chicken & mutton],,,HIGH,28,chicken 65,Biryani,292.0,HIGH,185.0,280.0,216.72,219,swiggy_weighted_median_plus_zomato_rank_adjusted,-11,-0.0478,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"punjabi chicken @ 185 (rank 1499, score 1.00) | punjabi chicken @ 230 (rank 1760, score 1.00) | punjabi chicken @ 200 (rank 1778, score 1.00)","chicken 65 @ 292 (rank 28, score 0.82) | andhra chicken @ 280 (rank 13, score 0.67) | pepper chicken @ 270 (rank 23, score 0.64)",Exact/direct
75,18.34,,Ghee Rice + Dal Fry + 2pc Kabab,Combos,combo_rice_curry,199,189.52,,,Ghee Rice + Dal Fry + Chicken Kabab,,146,ghee rice with dal fry,68,85,199.18,149.0,North Indian,OTHER RICE VARIETIES,North Indian,empire special thalis & combos,,1.0,MEDIUM,24,ghee rice butter chicken combo,North Indian,186.0,LOW,149.0,159.0,152.31,149,swiggy_weighted_median_plus_zomato_rank_adjusted,-50,-0.2513,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,PORTION_OR_OFFER_GATE_REQUIRED,"ghee rice with dal fry @ 149 (rank 146, score 0.66) | ghee rice + butter chicken @ 219 (rank 2970, score 0.57) | ghee rice butter chicken combo @ 186 (rank 64, score 0.54)","ghee rice butter chicken combo @ 186 (rank 24, score 0.54) | ghee rice butter chicken combo & chicken manchurian dry @ 249 (rank 45, score 0.46) | ghee rice @ 159 (rank 1, score 0.42)",Family/similar-market mapping; review before portal execution
76,18.31,,Chicken Doner Salad,Salads & Rice,other,190,180.95,,,,,647,chicken special,13,14,236.92,220.0,North Indian,OTHER DRY STARTERS,Biryani,non veg starters,,,HIGH,28,chicken 65,Biryani,292.0,MEDIUM,375.0,216.0,316.32,319,swiggy_weighted_median_plus_zomato_rank_adjusted,129,0.6789,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken special @ 220 (rank 647, score 0.80) | chicken 65 [5 pcs] @ 199 (rank 1466, score 0.77) | chicken 65 @ 375 (rank 20, score 0.76)","chicken 65 @ 292 (rank 28, score 0.76) | chicken noodles @ 216 (rank 18, score 0.62) | chicken noodles @ 165 (rank 34, score 0.62)",Exact/direct
77,17.38,HE-1173,Thethar Pepper Dry,Chicken Starters,other,300,285.71,Thethar Pepper Dry,320.0,,,525,paneer pepper dry,17,17,249.41,260.0,North Indian,OTHER DRY STARTERS,North Indian,starters,,1.0,MEDIUM,21,pepper chicken dry boneless,North Indian,149.0,LOW,220.0,149.0,196.86,199,swiggy_weighted_median_plus_zomato_rank_adjusted,-101,-0.3367,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,PORTION_OR_OFFER_GATE_REQUIRED,"paneer pepper dry @ 260 (rank 525, score 0.69) | mutton pepper dry @ 205 (rank 734, score 0.69) | allo pepper dry @ 180 (rank 2226, score 0.69)","pepper chicken dry boneless @ 149 (rank 21, score 0.55) | pepper chicken @ 270 (rank 23, score 0.46) | pepper chicken @ 241 (rank 50, score 0.46)",Family/similar-market mapping; review before portal execution
78,17.27,HE-1233,Daal Tadka,Vegetarian,veg_gravy_dal,120,114.29,Daal Tadka,120.0,,,546,dal tadka,16,17,341.25,330.0,North Indian,CURRY,North Indian,dal,,1.0,MEDIUM,30,dal tadka,North Indian,209.0,MEDIUM,270.0,209.0,246.82,249,swiggy_weighted_median_plus_zomato_rank_adjusted,129,1.075,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"dal tadka @ 330 (rank 546, score 0.76) | dal tadka @ 150 (rank 622, score 0.76) | dal tadka @ 395 (rank 766, score 0.76)","dal tadka @ 209 (rank 30, score 0.76) | dal makhani @ 273 (rank 38, score 0.45) | dal khichdi @ 221 (rank 40, score 0.38)",Family/similar-market mapping; review before portal execution
79,17.07,,Grill Chicken,Indian,grill_tandoor,240,228.57,,,,,88,grill chicken,96,100,284.38,210.0,North Indian,OTHER DRY STARTERS,Biryani,arabian barbeque,,,HIGH,43,grill chicken,Biryani,289.0,HIGH,210.0,289.0,240.02,229,swiggy_weighted_median_plus_zomato_rank_adjusted,-11,-0.0458,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"grill chicken @ 210 (rank 88, score 1.00) | grill chicken @ 210 (rank 584, score 1.00) | grilled chicken @ 237 (rank 36, score 0.76)","grill chicken @ 289 (rank 43, score 1.00) | grilled chicken @ 243 (rank 2, score 0.76) | grilled chicken @ 275 (rank 3, score 0.76)",Exact/direct
80,16.97,HE-1151,Chicken Kali Mirch,Chicken Curry,other,210,200.0,Chicken Kali Mirch,225.0,,,2154,chicken kali mirch,2,2,230.0,230.0,North Indian,CURRY,Biryani,non veg main course,,,HIGH,28,chicken 65,Biryani,292.0,MEDIUM,230.0,292.0,249.83,249,swiggy_weighted_median_plus_zomato_rank_adjusted,39,0.1857,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken kali mirch @ 230 (rank 2154, score 1.00) | chicken special @ 220 (rank 647, score 0.78) | chicken 65 [5 pcs] @ 199 (rank 1466, score 0.77)","chicken 65 @ 292 (rank 28, score 0.77) | chicken haleem (murg) @ 299 (rank 43, score 0.60) | chicken noodles @ 216 (rank 18, score 0.58)",Exact/direct
81,16.88,,Ghee Rice + Mutton Chatpata + 2pc Kabab,Combos,combo,289,275.24,,,,,2693,ghee rice with mutton butter masala - combo,1,1,289.0,289.0,Biryani,OTHER RICE VARIETIES,Biryani,ipl combos,,,LOW,13,mutton biryani + 2 pieces kebab+ coke [250 ml],Hyderabadi,365.0,LOW,289.0,159.0,244.03,249,swiggy_weighted_median_plus_zomato_rank_adjusted,-40,-0.1384,NEAR_POS_VOLUME_PRICE,WEAK_MAPPING_DO_NOT_PRICE_FROM_THIS,"ghee rice with mutton butter masala - combo @ 289 (rank 2693, score 0.57) | mutton chatpata @ 295 (rank 1703, score 0.54) | mutton masala combo @ 300 (rank 2662, score 0.49)","mutton biryani + 2 pieces kebab+ coke [250 ml] @ 365 (rank 13, score 0.49) | ghee rice @ 159 (rank 1, score 0.39) | ghee rice @ 103 (rank 6, score 0.39)",Family/similar-market mapping; review before portal execution
82,16.77,,Fried Chicken — 2 Pcs,Fried Chicken Pieces,other,150,142.86,,,,,1466,chicken 65 [5 pcs],4,5,246.75,199.0,Biryani,OTHER DRY STARTERS,Biryani,chicken starters,,,HIGH,28,chicken 65,Biryani,292.0,MEDIUM,375.0,249.0,329.78,329,swiggy_weighted_median_plus_zomato_rank_adjusted,179,1.1933,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken 65 [5 pcs] @ 199 (rank 1466, score 0.82) | chicken special @ 220 (rank 647, score 0.76) | chicken 65 @ 375 (rank 20, score 0.75)","chicken 65 @ 292 (rank 28, score 0.75) | broasted chicken. @ 275 (rank 32, score 0.60) | andhra chicken @ 280 (rank 13, score 0.57)",Exact/direct
83,16.77,,Fried Chicken — 4 Pcs,Fried Chicken Pieces,other,279,265.71,,,,,1466,chicken 65 [5 pcs],4,5,246.75,199.0,Biryani,OTHER DRY STARTERS,Biryani,chicken starters,,,HIGH,28,chicken 65,Biryani,292.0,MEDIUM,375.0,249.0,329.78,329,swiggy_weighted_median_plus_zomato_rank_adjusted,50,0.1792,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"chicken 65 [5 pcs] @ 199 (rank 1466, score 0.82) | chicken special @ 220 (rank 647, score 0.76) | chicken 65 @ 375 (rank 20, score 0.75)","chicken 65 @ 292 (rank 28, score 0.75) | broasted chicken. @ 275 (rank 32, score 0.60) | andhra chicken @ 280 (rank 13, score 0.57)",Exact/direct
84,16.27,,Fried Chicken — 1 Pc,Fried Chicken Pieces,other,75,71.43,,,,,1466,chicken 65 [5 pcs],4,5,246.75,199.0,Biryani,OTHER DRY STARTERS,Biryani,chicken starters,,,MEDIUM,28,chicken 65,Biryani,292.0,MEDIUM,375.0,280.0,340.4,329,swiggy_weighted_median_plus_zomato_rank_adjusted,254,3.3867,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken 65 [5 pcs] @ 199 (rank 1466, score 0.78) | chicken special @ 220 (rank 647, score 0.74) | chicken 65 @ 375 (rank 20, score 0.73)","chicken 65 @ 292 (rank 28, score 0.73) | broasted chicken. @ 275 (rank 32, score 0.59) | andhra chicken @ 280 (rank 13, score 0.56)",Family/similar-market mapping; review before portal execution
85,16.27,HE-1248,Veg Noodles,Noodles,other,150,142.86,Veg Noodles,150.0,Veg Schezwan Noodles,255.0,882,veg noodles,9,9,115.0,115.0,North Indian,NOODLES,Biryani,noodles,,1.0,HIGH,36,veg noodles,Mughlai,127.0,HIGH,280.0,127.0,221.86,219,swiggy_weighted_median_plus_zomato_rank_adjusted,69,0.46,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"veg noodles @ 115 (rank 882, score 1.00) | veg noodles @ 160 (rank 1050, score 1.00) | veg noodles @ 250 (rank 1138, score 1.00)","veg noodles @ 127 (rank 36, score 1.00) | non veg joy box @ 260 (rank 24, score 0.54) | non veg thali @ 221 (rank 25, score 0.54)",Exact/direct
86,16.14,HE-1155,Kadai Chicken,Indian,chicken_gravy,220,209.52,Kadai Chicken,225.0,Kadai Chicken,280.0,1483,kadai chicken,4,4,219.0,204.0,Chinese/Pan-Asian,CURRY,North Indian,mutton & chicken gravy items,,,HIGH,34,boneless kadai chicken,Mughlai,366.0,HIGH,204.0,366.0,263.31,269,swiggy_weighted_median_plus_zomato_rank_adjusted,49,0.2227,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"kadai chicken @ 204 (rank 1483, score 1.00) | kadai chicken @ 200 (rank 1779, score 1.00) | chicken kadai @ 390 (rank 2552, score 0.97)","boneless kadai chicken @ 366 (rank 34, score 0.94) | butter chicken @ 281 (rank 12, score 0.63) | chicken korma @ 270 (rank 47, score 0.61)",Exact/direct
87,15.88,HE-1162,Chicken Kolhapuri Gravy,Chicken Curry,other,210,200.0,Chicken Kolhapuri Gravy,210.0,Chicken Kolhapuri Gravy,270.0,2887,chicken kolhapuri gravy,1,1,210.0,210.0,Coastal/Seafood,CURRY,Biryani,chicken curries,,,HIGH,28,chicken 65,Biryani,292.0,MEDIUM,225.0,249.0,232.45,229,swiggy_weighted_median_plus_zomato_rank_adjusted,19,0.0905,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"chicken kolhapuri gravy @ 210 (rank 2887, score 1.00) | chicken kolhapuri @ 225 (rank 946, score 0.98) | chicken kolhapuri @ 180 (rank 1750, score 0.98)","chicken 65 @ 292 (rank 28, score 0.73) | chicken noodles @ 216 (rank 18, score 0.58) | chicken noodles @ 165 (rank 34, score 0.58)",Exact/direct
88,15.77,,Classic Chicken Burger,Burgers,other,130,123.81,,,,,2801,chimichurri chicken burger,1,1,249.0,249.0,Burgers/American,BURGER,Biryani,chimichurri burgers,,,MEDIUM,28,chicken 65,Biryani,292.0,MEDIUM,375.0,249.0,328.55,329,swiggy_weighted_median_plus_zomato_rank_adjusted,199,1.5308,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chimichurri chicken burger @ 249 (rank 2801, score 0.78) | cajun spicy chicken burger @ 239 (rank 2105, score 0.78) | chicken 65 @ 375 (rank 20, score 0.74)","chicken 65 @ 292 (rank 28, score 0.74) | special chicken kushka @ 249 (rank 13, score 0.58) | broasted chicken. @ 275 (rank 32, score 0.58)",Family/similar-market mapping; review before portal execution
89,15.69,HE-1237,Mutton Fried Rice,Fried Rice,chinese_rice_noodles,230,219.05,Mutton Fried Rice,230.0,,,106,egg fried rice,85,93,319.41,310.0,Biryani,FRIED RICE,Biryani,rice,,,MEDIUM,30,veg fried rice,Mughlai,127.0,LOW,200.0,201.0,200.31,199,swiggy_weighted_median_plus_zomato_rank_adjusted,-31,-0.1348,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"egg fried rice @ 310 (rank 106, score 0.68) | egg fried rice @ 160 (rank 277, score 0.68) | egg fried rice @ 110 (rank 399, score 0.68)","veg fried rice @ 127 (rank 30, score 0.50) | chicken fried rice @ 201 (rank 6, score 0.49) | chicken fried rice @ 165 (rank 26, score 0.49)",Family/similar-market mapping; review before portal execution
90,15.52,HE-CM01-3,[HE-CM01-3] CM1 For Three — Rice+Roti+Kabab+BC,Indian,combo,829,789.52,,,,,952,biryani rice with chicken kabab,8,9,191.25,170.0,North Indian,BIRYANI,Biryani,non veg combos,,,LOW,3,boneless chicken biryani + 2 pieces kebab + coke [250 ml],Hyderabadi,335.0,WEAK,170.0,,170.0,159,swiggy_weighted_median_only,-670,-0.8082,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,WEAK_MAPPING_DO_NOT_PRICE_FROM_THIS,"biryani rice with chicken kabab @ 170 (rank 952, score 0.44) | biryani rice + chicken kabab @ 219 (rank 2866, score 0.44) | donne biryani rice with chicken kabab @ 369 (rank 1398, score 0.42)","boneless chicken biryani + 2 pieces kebab + coke [250 ml] @ 335 (rank 3, score 0.34) | ghee rice butter chicken combo @ 186 (rank 24, score 0.32) | 2 roti + butter chicken @ 235 (rank 13, score 0.31)",Family/similar-market mapping; review before portal execution
91,15.3,HE-1241,Prawns Fried Rice,Fried Rice,chinese_rice_noodles,230,219.05,Prawns Fried Rice,230.0,Prawns Fried Rice,295.0,1054,prawns fried rice,7,8,171.43,150.0,North Indian,FRIED RICE,Biryani,seafood specials,,,HIGH,30,veg fried rice,Mughlai,127.0,MEDIUM,150.0,201.0,165.02,159,swiggy_weighted_median_plus_zomato_rank_adjusted,-71,-0.3087,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,PORTION_OR_OFFER_GATE_REQUIRED,"prawns fried rice @ 150 (rank 1054, score 1.00) | schezwan prawns fried rice @ 160 (rank 1770, score 0.91) | palak fried rice @ 240 (rank 2175, score 0.71)","veg fried rice @ 127 (rank 30, score 0.68) | chicken fried rice @ 201 (rank 6, score 0.67) | chicken fried rice @ 165 (rank 26, score 0.67)",Exact/direct
92,15.05,HE-1243,Mix Fried Rice,Fried Rice,chinese_rice_noodles,240,228.57,Mix Fried Rice [Single],240.0,Mix Fried Rice,305.0,1445,mix veg fried rice,4,4,270.0,270.0,North Indian,FRIED RICE,North Indian,rice & noodles,,1.0,HIGH,30,veg fried rice,Mughlai,127.0,MEDIUM,270.0,201.0,248.16,249,swiggy_weighted_median_plus_zomato_rank_adjusted,9,0.0375,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"mix veg fried rice @ 270 (rank 1445, score 0.94) | egg fried rice @ 310 (rank 106, score 0.71) | veg fried rice @ 300 (rank 158, score 0.71)","veg fried rice @ 127 (rank 30, score 0.71) | chicken fried rice @ 201 (rank 6, score 0.70) | chicken fried rice @ 165 (rank 26, score 0.70)",Exact/direct
93,15.02,,Rice with Chicken Popcorn,Salads & Rice,combo,190,180.95,,,,,2843,ghee rice with 555 chicken boneless,1,1,229.0,229.0,Biryani,OTHER RICE VARIETIES,Biryani,ipl combos,,,MEDIUM,24,ghee rice butter chicken combo,North Indian,186.0,MEDIUM,179.0,235.0,198.11,199,swiggy_weighted_median_plus_zomato_rank_adjusted,9,0.0474,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"ghee rice with 555 chicken boneless @ 229 (rank 2843, score 0.71) | ghee rice with chicken varaval (1 pc) @ 179 (rank 1308, score 0.69) | donne biryani rice with chicken lollypop @ 369 (rank 2669, score 0.68)","ghee rice butter chicken combo @ 186 (rank 24, score 0.60) | ghee rice butter chicken combo & chicken manchurian dry @ 249 (rank 45, score 0.52) | chicken biryani combo @ 291 (rank 30, score 0.49)",Family/similar-market mapping; review before portal execution
94,14.5,HE-CM01-1,[HE-CM01-1] CM1 For You — Rice+Roti+Kabab+BC,Indian,combo,299,284.76,,,,,2866,biryani rice + chicken kabab,1,1,219.0,219.0,Coastal/Seafood,BIRYANI,Biryani,combo meals,,,LOW,3,boneless chicken biryani + 2 pieces kebab + coke [250 ml],Hyderabadi,335.0,WEAK,170.0,,170.0,159,swiggy_weighted_median_only,-140,-0.4682,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,WEAK_MAPPING_DO_NOT_PRICE_FROM_THIS,"biryani rice + chicken kabab @ 219 (rank 2866, score 0.45) | biryani rice with chicken kabab @ 170 (rank 952, score 0.45) | donne biryani rice with chicken kabab @ 369 (rank 1398, score 0.43)","boneless chicken biryani + 2 pieces kebab + coke [250 ml] @ 335 (rank 3, score 0.33) | ghee rice butter chicken combo @ 186 (rank 24, score 0.31) | 2 roti + butter chicken @ 235 (rank 13, score 0.31)",Family/similar-market mapping; review before portal execution
95,14.49,HE-CM01-2,[HE-CM01-2] CM1 For Two — Rice+Roti+Kabab+BC,Indian,combo,629,599.05,,,,,2866,biryani rice + chicken kabab,1,1,219.0,219.0,Coastal/Seafood,BIRYANI,Biryani,combo meals,,,LOW,3,boneless chicken biryani + 2 pieces kebab + coke [250 ml],Hyderabadi,335.0,WEAK,369.0,,369.0,369,swiggy_weighted_median_only,-260,-0.4134,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,WEAK_MAPPING_DO_NOT_PRICE_FROM_THIS,"biryani rice + chicken kabab @ 219 (rank 2866, score 0.44) | biryani rice with chicken kabab @ 170 (rank 952, score 0.44) | donne biryani rice with chicken kabab @ 369 (rank 1398, score 0.42)","boneless chicken biryani + 2 pieces kebab + coke [250 ml] @ 335 (rank 3, score 0.33) | 2 roti + butter chicken @ 235 (rank 13, score 0.32) | ghee rice butter chicken combo @ 186 (rank 24, score 0.31)",Family/similar-market mapping; review before portal execution
